,안전 및 치안,교통,부동산,생활/편의 시설,추천 클러스터
0,상관없음,상관없음,상관없음,상관없음,1
1,상관없음,상관없음,상관없음,중요,2
2,상관없음,상관없음,상관없음,매우 중요,2
3,상관없음,상관없음,중요,상관없음,3
4,상관없음,상관없음,중요,중요,3
5,상관없음,상관없음,중요,매우 중요,0
6,상관없음,상관없음,매우 중요,상관없음,3
7,상관없음,상관없음,매우 중요,중요,3
8,상관없음,상관없음,매우 중요,매우 중요,3
9,상관없음,중요,상관없음,상관없음,2
10,상관없음,중요,상관없음,중요,2
11,상관없음,중요,상관없음,매우 중요,2
12,상관없음,중요,중요,상관없음,3
13,상관없음,중요,중요,중요,0
14,상관없음,중요,중요,매우 중요,0
15,상관없음,중요,매우 중요,상관없음,3
16,상관없음,중요,매우 중요,중요,3
17,상관없음,중요,매우 중요,매우 중요,3
18,상관없음,매우 중요,상관없음,상관없음,1
19,상관없음,매우 중요,상관없음,중요,2
20,상관없음,매우 중요,상관없음,매우 중요,2
21,상관없음,매우 중요,중요,상관없음,4
22,상관없음,매우 중요,중요,중요,4
23,상관없음,매우 중요,중요,매우 중요,2
24,상관없음,매우 중요,매우 중요,상관없음,3
25,상관없음,매우 중요,매우 중요,중요,3
26,상관없음,매우 중요,매우 중요,매우 중요,3
27,중요,상관없음,상관없음,상관없음,5
28,중요,상관없음,상관없음,중요,5
29,중요,상관없음,상관없음,매우 중요,2
30,중요,상관없음,중요,상관없음,3
31,중요,상관없음,중요,중요,0
32,중요,상관없음,중요,매우 중요,0
33,중요,상관없음,매우 중요,상관없음,3
34,중요,상관없음,매우 중요,중요,3
35,중요,상관없음,매우 중요,매우 중요,3
36,중요,중요,상관없음,상관없음,2
37,중요,중요,상관없음,중요,2
38,중요,중요,상관없음,매우 중요,2
39,중요,중요,중요,상관없음,0
40,중요,중요,중요,중요,0
41,중요,중요,중요,매우 중요,0
42,중요,중요,매우 중요,상관없음,3
43,중요,중요,매우 중요,중요,3
44,중요,중요,매우 중요,매우 중요,3
45,중요,매우 중요,상관없음,상관없음,2
46,중요,매우 중요,상관없음,중요,2
47,중요,매우 중요,상관없음,매우 중요,2
48,중요,매우 중요,중요,상관없음,4
49,중요,매우 중요,중요,중요,4
50,중요,매우 중요,중요,매우 중요,2
51,중요,매우 중요,매우 중요,상관없음,3
52,중요,매우 중요,매우 중요,중요,3
53,중요,매우 중요,매우 중요,매우 중요,3
54,매우 중요,상관없음,상관없음,상관없음,1
55,매우 중요,상관없음,상관없음,중요,5
56,매우 중요,상관없음,상관없음,매우 중요,5
57,매우 중요,상관없음,중요,상관없음,5
58,매우 중요,상관없음,중요,중요,5
59,매우 중요,상관없음,중요,매우 중요,0
60,매우 중요,상관없음,매우 중요,상관없음,3
61,매우 중요,상관없음,매우 중요,중요,3
62,매우 중요,상관없음,매우 중요,매우 중요,3
63,매우 중요,중요,상관없음,상관없음,5
64,매우 중요,중요,상관없음,중요,5
65,매우 중요,중요,상관없음,매우 중요,5
66,매우 중요,중요,중요,상관없음,5
67,매우 중요,중요,중요,중요,5
68,매우 중요,중요,중요,매우 중요,0
69,매우 중요,중요,매우 중요,상관없음,3
70,매우 중요,중요,매우 중요,중요,3
71,매우 중요,중요,매우 중요,매우 중요,0
72,매우 중요,매우 중요,상관없음,상관없음,5
73,매우 중요,매우 중요,상관없음,중요,5
74,매우 중요,매우 중요,상관없음,매우 중요,2
75,매우 중요,매우 중요,중요,상관없음,4
76,매우 중요,매우 중요,중요,중요,4
77,매우 중요,매우 중요,중요,매우 중요,2
78,매우 중요,매우 중요,매우 중요,상관없음,3
79,매우 중요,매우 중요,매우 중요,중요,3
80,매우 중요,매우 중요,매우 중요,매우 중요,3
